,2020-09-30 00:00:00,2020-11-02 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2021-02-01 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2021-08-02 00:00:00,2021-08-31 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00,2022-01-31 00:00:00,2022-02-28 00:00:00,2022-03-31 00:00:00,2022-05-02 00:00:00,2022-05-31 00:00:00,2022-06-30 00:00:00,2022-08-01 00:00:00,2022-08-31 00:00:00,2022-09-30 00:00:00,2022-10-31 00:00:00,2022-11-30 00:00:00,2023-01-02 00:00:00,2023-01-31 00:00:00,2023-02-28 00:00:00,2023-05-31 00:00:00,2023-06-30 00:00:00,2023-07-31 00:00:00,2023-08-31 00:00:00,2023-10-16 00:00:00,2023-10-17 00:00:00,2023-10-18 00:00:00,2023-10-19 00:00:00,2023-10-20 00:00:00,2023-10-23 00:00:00,2023-10-24 00:00:00,2023-10-25 00:00:00,2023-10-26 00:00:00,2023-10-27 00:00:00,2023-10-30 00:00:00,2023-10-31 00:00:00
Q664A1829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008158538396401623,0.07862498689664844,0.051891952749405494,0.0669868581449903,0.11743111195503682,0.12114318491646929,0.14242310284296494,0.1445092303627337,0.15730102053132214,0.21924826169949313,0.18014474644560985,0.08335439939137655
Q664A1830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9585027690052406e-05,-0.021147165474124503,-0.029744860256335444,-0.023173434021632227,-0.007147558134605499,-0.010984061735193819,-0.006866602704133704,0.010995353462779084,0.005297258691643573,-0.024331500296945065,-0.010483399782424433,-0.012043600908939226
Q664A1831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014131175861784061,-0.0006355220353415154,0.021968115281892197,0.011490295022750098,-0.007968565215226011,-0.02359679241725245,-0.00942862641224399,-0.020991105902565678,-0.02356003356995433,-0.005144842953248924,0.004913436106719676,0.03349730575201685
Q664A1832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015042094075260405,-0.057450633949948225,-0.05266380290741859,-0.05339730024068607,-0.14140095761136334,-0.10925874975326333,-0.16446286563636742,-0.15597645295130613,-0.13947083194256946,-0.09256237150844925,-0.03792381761420945,-0.060836294591675596
Q664A1833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029509884978504894,0.05354451795342096,0.050597568640987925,0.03352234301391988,-0.024343602881456695,0.004111036843518422,-0.03150328334573869,-0.0304195449059484,0.019262525786988657,0.023391920040209305,0.01255966859809719,-0.05925015862109067
Q97Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005370490291375619,0.03248387224021131,0.0005147797459486526,-0.0034240823605670473,0.023117812196223157,0.00592904341541154,-0.0019564493409249015,-0.013246594307273981,0.0015002145454251516,-0.09433308508844063,-0.15172923057415214,-0.03530127065547817
Q98Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020841583760322756,-0.025600018784005273,-0.03367095915023893,-0.02848571745257073,-0.05872751425448437,-0.04490823611196815,-0.06892727066433248,-0.05790843336439445,-0.034295753052682114,-0.02474660527798444,-0.01969948122327273,-0.03471905032018957
Q101Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010346599581730801,-0.004976932256905838,-0.007122913933574137,-0.011491297690388556,-0.047462215744272444,-0.054145427930992314,-0.04183079324592929,-0.02844310012015477,-0.010713811762439102,0.013147195031347567,-0.011237387075034211,0.013535968196496348
Q103Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005324572151435361,0.010019438452360521,0.004149159735213728,-0.002412408385009848,-0.0164518452438039,0.001160823511818495,-0.0017940536536965083,-0.004014610163016611,-0.003850958023488031,-0.006637575666196912,-0.00889073456085234,-0.00022714426411030403
Q104Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005139740764267013,0.028388757646654036,0.028678800638719262,0.03378494134333094,0.06966759749472258,0.05834504872919249,0.04771916296517261,0.03639894562117505,0.030300884792280963,0.057692582930544016,0.06487286064964072,0.013175173782516184
